id,time,censored,sex,race,age,education,marital,parent
1,5.25,FALSE,Female,White or Other,16.75,Less than high school,"Never Married, Not Cohabitating",FALSE
1,13.083333333333334,FALSE,Female,White or Other,22.333333333333332,High School,"Never Married, Not Cohabitating",FALSE
2,3,FALSE,Male,Hispanic,19.333333333333332,Less than high school,"Never Married, Not Cohabitating",FALSE
2,3.9166666666666665,FALSE,Male,Hispanic,22.416666666666668,High School,"Never Married, Not Cohabitating",FALSE
2,14.333333333333334,TRUE,Male,Hispanic,26.833333333333332,High School,"Never Married, Not Cohabitating",FALSE
3,0.08333333333333333,FALSE,Female,Hispanic,19.166666666666668,Less than high school,"Never Married, Not Cohabitating",FALSE
3,4.666666666666667,FALSE,Female,Hispanic,19.416666666666668,Less than high school,"Never Married, Not Cohabitating",FALSE
3,4.666666666666667,FALSE,Female,Hispanic,24.416666666666668,High School,"Never Married, Not Cohabitating",FALSE
3,9.166666666666666,FALSE,Female,Hispanic,29.166666666666668,High School,"Never Married, Cohabiting",TRUE
3,0.16666666666666666,FALSE,Female,Hispanic,41.083333333333336,College,Married,TRUE
4,1.9166666666666667,FALSE,Female,Hispanic,17,Less than high school,"Never Married, Not Cohabitating",FALSE
4,1.25,FALSE,Female,Hispanic,20,High School,"Never Married, Not Cohabitating",FALSE
4,6.833333333333333,FALSE,Female,Hispanic,21.5,High School,"Never Married, Not Cohabitating",FALSE
4,2.5,FALSE,Female,Hispanic,28.416666666666668,High School,"Never Married, Cohabiting",TRUE
4,6.25,FALSE,Female,Hispanic,31.25,High School,"Never Married, Cohabiting",TRUE
4,3.8333333333333335,TRUE,Female,Hispanic,37.916666666666664,High School,"Never Married, Not Cohabitating",TRUE
5,0.3333333333333333,FALSE,Male,Hispanic,18.5,Less than high school,"Never Married, Not Cohabitating",FALSE
5,0.16666666666666666,FALSE,Male,Hispanic,19.416666666666668,Less than high school,"Never Married, Not Cohabitating",FALSE
5,19.5,TRUE,Male,Hispanic,21.333333333333332,High School,"Never Married, Not Cohabitating",FALSE
6,1.6666666666666667,FALSE,Female,Hispanic,20,Less than high school,"Never Married, Not Cohabitating",FALSE
6,0.16666666666666666,FALSE,Female,Hispanic,21.75,High School,"Never Married, Not Cohabitating",FALSE
6,0.9166666666666666,FALSE,Female,Hispanic,22,High School,"Never Married, Not Cohabitating",FALSE
6,0.08333333333333333,FALSE,Female,Hispanic,23.75,High School,Married,FALSE
6,4.916666666666667,FALSE,Female,Hispanic,24,High School,Married,FALSE
6,5.083333333333333,FALSE,Female,Hispanic,29.5,High School,Married,TRUE
6,0.4166666666666667,FALSE,Female,Hispanic,36.916666666666664,High School,Married,TRUE
6,4.333333333333333,FALSE,Female,Hispanic,37.416666666666664,High School,Married,TRUE
7,0.16666666666666666,FALSE,Male,Hispanic,21.25,High School,"Never Married, Not Cohabitating",FALSE
7,0.4166666666666667,FALSE,Male,Hispanic,22.166666666666668,High School,"Never Married, Not Cohabitating",FALSE
7,1.1666666666666667,FALSE,Male,Hispanic,25.583333333333332,High School,"Never Married, Not Cohabitating",FALSE
7,0.16666666666666666,FALSE,Male,Hispanic,27.333333333333332,High School,"Never Married, Not Cohabitating",FALSE
7,0.25,FALSE,Male,Hispanic,29.25,High School,"Never Married, Not Cohabitating",FALSE
7,2.4166666666666665,FALSE,Male,Hispanic,35.333333333333336,High School,Married,FALSE
8,1.75,FALSE,Female,White or Other,17.333333333333332,Less than high school,"Never Married, Not Cohabitating",FALSE
8,0.8333333333333334,FALSE,Female,White or Other,19.25,High School,"Never Married, Not Cohabitating",FALSE
8,0.8333333333333334,FALSE,Female,White or Other,20.333333333333332,High School,"Never Married, Not Cohabitating",FALSE
8,5.166666666666667,FALSE,Female,White or Other,21.916666666666668,High School,"Never Married, Not Cohabitating",FALSE
8,5.416666666666667,FALSE,Female,White or Other,28.166666666666668,College,"Never Married, Not Cohabitating",FALSE
8,0.16666666666666666,FALSE,Female,White or Other,33.666666666666664,College,"Never Married, Not Cohabitating",FALSE
8,6.75,TRUE,Female,White or Other,35.333333333333336,College,"Never Married, Not Cohabitating",FALSE
9,0.25,FALSE,Male,White or Other,20.416666666666668,High School,"Never Married, Not Cohabitating",FALSE
9,0.25,FALSE,Male,White or Other,21.5,High School,"Never Married, Not Cohabitating",FALSE
9,0.3333333333333333,FALSE,Male,White or Other,22.416666666666668,High School,"Never Married, Not Cohabitating",FALSE
9,0.8333333333333334,FALSE,Male,White or Other,23,High School,"Never Married, Not Cohabitating",FALSE
9,0.3333333333333333,FALSE,Male,White or Other,24.5,College,"Never Married, Not Cohabitating",FALSE
9,4.75,FALSE,Male,White or Other,25.416666666666668,College,"Never Married, Not Cohabitating",FALSE
9,11,TRUE,Male,White or Other,30.75,College,"Never Married, Not Cohabitating",FALSE
10,0.5833333333333334,FALSE,Male,White or Other,25.916666666666668,College,"Never Married, Not Cohabitating",FALSE
10,5,FALSE,Male,White or Other,26.583333333333332,College,"Never Married, Not Cohabitating",FALSE
10,0.5833333333333334,FALSE,Male,White or Other,33.083333333333336,College,"Never Married, Cohabiting",FALSE
10,6.916666666666667,TRUE,Male,White or Other,34.333333333333336,College,"Never Married, Cohabiting",FALSE
11,0.9166666666666666,FALSE,Female,Hispanic,18.25,Less than high school,"Never Married, Not Cohabitating",FALSE
11,4.916666666666667,FALSE,Female,Hispanic,20.416666666666668,High School,"Never Married, Not Cohabitating",FALSE
11,4.833333333333333,FALSE,Female,Hispanic,25.666666666666668,High School,"Never Married, Not Cohabitating",TRUE
11,0.5,FALSE,Female,Hispanic,30.75,High School,"Never Married, Not Cohabitating",TRUE
