id,sex,race,outcome,time,censored
1,Female,White or Other,educ_hs,18.666666666666668,FALSE
1,Female,White or Other,educ_ba,22.583333333333332,FALSE
1,Female,White or Other,married,35.25,TRUE
1,Female,White or Other,parent,35.25,TRUE
2,Male,Hispanic,educ_hs,19.75,FALSE
2,Male,Hispanic,educ_ba,41.166666666666664,TRUE
2,Male,Hispanic,married,41.166666666666664,TRUE
2,Male,Hispanic,parent,41.166666666666664,TRUE
3,Female,Hispanic,educ_hs,20.5,FALSE
3,Female,Hispanic,educ_ba,34.5,FALSE
3,Female,Hispanic,married,36.916666666666664,FALSE
3,Female,Hispanic,parent,29,FALSE
4,Female,Hispanic,educ_hs,19.25,FALSE
4,Female,Hispanic,educ_ba,41.75,TRUE
4,Female,Hispanic,married,41.75,TRUE
4,Female,Hispanic,parent,22.666666666666668,FALSE
5,Male,Hispanic,educ_hs,19.5,FALSE
5,Male,Hispanic,educ_ba,40.833333333333336,TRUE
5,Male,Hispanic,married,28.333333333333332,FALSE
5,Male,Hispanic,parent,28.916666666666668,FALSE
6,Female,Hispanic,educ_hs,20.25,FALSE
6,Female,Hispanic,educ_ba,41.583333333333336,TRUE
6,Female,Hispanic,married,23.333333333333332,FALSE
6,Female,Hispanic,parent,28.333333333333332,FALSE
7,Male,Hispanic,educ_hs,20.166666666666668,FALSE
7,Male,Hispanic,educ_ba,39.333333333333336,TRUE
7,Male,Hispanic,married,30.083333333333332,FALSE
7,Male,Hispanic,parent,38.5,FALSE
8,Female,White or Other,educ_hs,18.916666666666668,FALSE
8,Female,White or Other,educ_ba,22.916666666666668,FALSE
8,Female,White or Other,married,37.833333333333336,FALSE
8,Female,White or Other,parent,37.833333333333336,FALSE
9,Male,White or Other,educ_hs,19.5,FALSE
9,Male,White or Other,educ_ba,24.416666666666668,FALSE
9,Male,White or Other,married,34.583333333333336,FALSE
9,Male,White or Other,parent,39.416666666666664,FALSE
10,Male,White or Other,educ_hs,21.833333333333332,FALSE
10,Male,White or Other,educ_ba,23.833333333333332,FALSE
10,Male,White or Other,married,35.666666666666664,FALSE
10,Male,White or Other,parent,37.416666666666664,FALSE
11,Female,Hispanic,educ_hs,19.416666666666668,FALSE
11,Female,Hispanic,educ_ba,35.333333333333336,FALSE
11,Female,Hispanic,married,35.333333333333336,FALSE
11,Female,Hispanic,parent,23.5,FALSE
12,Male,Hispanic,educ_hs,22.083333333333332,FALSE
12,Male,Hispanic,educ_ba,41,TRUE
12,Male,Hispanic,married,41,TRUE
12,Male,Hispanic,parent,31.166666666666668,FALSE
13,Male,Hispanic,educ_hs,32.583333333333336,FALSE
13,Male,Hispanic,educ_ba,38.916666666666664,TRUE
13,Male,Hispanic,married,38.916666666666664,TRUE
13,Male,Hispanic,parent,38.916666666666664,TRUE
14,Male,Hispanic,educ_hs,41.75,TRUE
14,Male,Hispanic,educ_ba,41.75,TRUE
14,Male,Hispanic,married,41.75,TRUE
14,Male,Hispanic,parent,28.416666666666668,FALSE
15,Female,Hispanic,educ_hs,22.083333333333332,FALSE
15,Female,Hispanic,educ_ba,39.833333333333336,TRUE
15,Female,Hispanic,married,39.833333333333336,TRUE
15,Female,Hispanic,parent,39,FALSE
16,Male,Hispanic,educ_hs,21.166666666666668,FALSE
16,Male,Hispanic,educ_ba,41.583333333333336,TRUE
16,Male,Hispanic,married,41.583333333333336,TRUE
16,Male,Hispanic,parent,27.583333333333332,FALSE
17,Female,Hispanic,educ_hs,19.166666666666668,FALSE
17,Female,Hispanic,educ_ba,39.416666666666664,TRUE
17,Female,Hispanic,married,39.416666666666664,TRUE
17,Female,Hispanic,parent,23.166666666666668,FALSE
18,Male,Black,educ_hs,27.333333333333332,FALSE
18,Male,Black,educ_ba,41.75,TRUE
18,Male,Black,married,41.75,TRUE
18,Male,Black,parent,19.166666666666668,FALSE
19,Male,Black,educ_hs,41.416666666666664,TRUE
19,Male,Black,educ_ba,41.416666666666664,TRUE
19,Male,Black,married,41.416666666666664,TRUE
19,Male,Black,parent,26.5,FALSE
20,Male,Black,educ_hs,26.75,FALSE
20,Male,Black,educ_ba,37.333333333333336,TRUE
20,Male,Black,married,37.333333333333336,TRUE
20,Male,Black,parent,34.333333333333336,FALSE
21,Male,Hispanic,educ_hs,20.166666666666668,FALSE
21,Male,Hispanic,educ_ba,40.916666666666664,TRUE
21,Male,Hispanic,married,40.916666666666664,TRUE
21,Male,Hispanic,parent,26.5,FALSE
22,Male,Hispanic,educ_hs,21.833333333333332,FALSE
22,Male,Hispanic,educ_ba,41.75,TRUE
22,Male,Hispanic,married,29.5,FALSE
22,Male,Hispanic,parent,28.75,FALSE
23,Female,Hispanic,educ_hs,22.166666666666668,FALSE
23,Female,Hispanic,educ_ba,38.083333333333336,FALSE
23,Female,Hispanic,married,22.416666666666668,FALSE
23,Female,Hispanic,parent,33.25,FALSE
24,Male,Hispanic,educ_hs,41.833333333333336,TRUE
24,Male,Hispanic,educ_ba,41.833333333333336,TRUE
24,Male,Hispanic,married,39,FALSE
24,Male,Hispanic,parent,21.5,FALSE
25,Female,Hispanic,educ_hs,22.333333333333332,FALSE
25,Female,Hispanic,educ_ba,41.25,TRUE
25,Female,Hispanic,married,24,FALSE
25,Female,Hispanic,parent,24,FALSE
26,Male,Black,educ_hs,41,TRUE
26,Male,Black,educ_ba,41,TRUE
26,Male,Black,married,41,TRUE
26,Male,Black,parent,41,TRUE
27,Male,Black,educ_hs,41.333333333333336,TRUE
27,Male,Black,educ_ba,41.333333333333336,TRUE
27,Male,Black,married,35,FALSE
27,Male,Black,parent,25.333333333333332,FALSE
28,Female,Black,educ_hs,20.333333333333332,FALSE
28,Female,Black,educ_ba,25.25,FALSE
28,Female,Black,married,32.75,FALSE
28,Female,Black,parent,28.666666666666668,FALSE
29,Female,White or Other,educ_hs,20.833333333333332,TRUE
29,Female,White or Other,educ_ba,20.833333333333332,TRUE
29,Female,White or Other,married,20.833333333333332,TRUE
29,Female,White or Other,parent,20.833333333333332,TRUE
30,Male,White or Other,educ_hs,18.5,TRUE
30,Male,White or Other,educ_ba,18.5,TRUE
30,Male,White or Other,married,18.5,TRUE
30,Male,White or Other,parent,18.5,TRUE
31,Male,White or Other,educ_hs,19.75,FALSE
31,Male,White or Other,educ_ba,23.666666666666668,FALSE
31,Male,White or Other,married,35,FALSE
31,Male,White or Other,parent,37,FALSE
32,Female,White or Other,educ_hs,18.833333333333332,FALSE
32,Female,White or Other,educ_ba,22.75,FALSE
32,Female,White or Other,married,26.083333333333332,FALSE
32,Female,White or Other,parent,26.166666666666668,FALSE
33,Female,White or Other,educ_hs,17.5,FALSE
33,Female,White or Other,educ_ba,22.5,FALSE
33,Female,White or Other,married,28.75,FALSE
33,Female,White or Other,parent,32,FALSE
34,Female,White or Other,educ_hs,21.166666666666668,FALSE
34,Female,White or Other,educ_ba,26.083333333333332,FALSE
34,Female,White or Other,married,40.5,TRUE
34,Female,White or Other,parent,34.916666666666664,FALSE
35,Male,White or Other,educ_hs,22.166666666666668,FALSE
35,Male,White or Other,educ_ba,26.416666666666668,FALSE
35,Male,White or Other,married,41.5,TRUE
35,Male,White or Other,parent,32.833333333333336,FALSE
36,Female,White or Other,educ_hs,17.833333333333332,FALSE
36,Female,White or Other,educ_ba,37.5,TRUE
36,Female,White or Other,married,23.166666666666668,FALSE
36,Female,White or Other,parent,18.333333333333332,FALSE
37,Female,White or Other,educ_hs,17.583333333333332,FALSE
37,Female,White or Other,educ_ba,23.5,FALSE
37,Female,White or Other,married,29.083333333333332,FALSE
37,Female,White or Other,parent,41,TRUE
38,Female,White or Other,educ_hs,18.666666666666668,FALSE
38,Female,White or Other,educ_ba,23.333333333333332,FALSE
38,Female,White or Other,married,41.083333333333336,TRUE
38,Female,White or Other,parent,39.083333333333336,FALSE
39,Male,Hispanic,educ_hs,18.333333333333332,FALSE
39,Male,Hispanic,educ_ba,23.583333333333332,FALSE
39,Male,Hispanic,married,37.833333333333336,TRUE
39,Male,Hispanic,parent,37.833333333333336,TRUE
40,Female,White or Other,educ_hs,22.75,FALSE
40,Female,White or Other,educ_ba,24.25,TRUE
40,Female,White or Other,married,24.25,TRUE
40,Female,White or Other,parent,24.25,TRUE
41,Female,White or Other,educ_hs,20.75,FALSE
41,Female,White or Other,educ_ba,26.083333333333332,FALSE
41,Female,White or Other,married,35.5,FALSE
41,Female,White or Other,parent,37.333333333333336,FALSE
42,Male,White or Other,educ_hs,21.583333333333332,FALSE
42,Male,White or Other,educ_ba,27.166666666666668,FALSE
42,Male,White or Other,married,30.416666666666668,TRUE
42,Male,White or Other,parent,30.416666666666668,TRUE
43,Female,Black,educ_hs,19.083333333333332,FALSE
43,Female,Black,educ_ba,41.166666666666664,TRUE
43,Female,Black,married,39.166666666666664,FALSE
43,Female,Black,parent,41.166666666666664,TRUE
44,Male,Hispanic,educ_hs,20,FALSE
44,Male,Hispanic,educ_ba,40.75,TRUE
44,Male,Hispanic,married,23.583333333333332,FALSE
44,Male,Hispanic,parent,23.416666666666668,FALSE
45,Female,Black,educ_hs,41.333333333333336,TRUE
45,Female,Black,educ_ba,41.333333333333336,TRUE
45,Female,Black,married,41.333333333333336,TRUE
45,Female,Black,parent,20.833333333333332,FALSE
46,Male,Black,educ_hs,24.583333333333332,FALSE
46,Male,Black,educ_ba,41.5,TRUE
46,Male,Black,married,41.5,TRUE
46,Male,Black,parent,20.416666666666668,FALSE
47,Female,Black,educ_hs,19.583333333333332,FALSE
47,Female,Black,educ_ba,40.916666666666664,TRUE
47,Female,Black,married,40.916666666666664,TRUE
47,Female,Black,parent,30.25,FALSE
48,Female,Black,educ_hs,20.666666666666668,FALSE
48,Female,Black,educ_ba,26.25,FALSE
48,Female,Black,married,41.166666666666664,TRUE
48,Female,Black,parent,22.833333333333332,FALSE
49,Female,Black,educ_hs,19.333333333333332,FALSE
49,Female,Black,educ_ba,41,TRUE
49,Female,Black,married,28.5,FALSE
49,Female,Black,parent,20.75,FALSE
50,Female,Black,educ_hs,23.5,FALSE
50,Female,Black,educ_ba,41.5,TRUE
50,Female,Black,married,41.5,TRUE
50,Female,Black,parent,27.25,FALSE
51,Male,Black,educ_hs,18,FALSE
51,Male,Black,educ_ba,41.583333333333336,TRUE
51,Male,Black,married,29,FALSE
51,Male,Black,parent,20.583333333333332,FALSE
52,Male,Black,educ_hs,22.5,FALSE
52,Male,Black,educ_ba,40.666666666666664,TRUE
52,Male,Black,married,23.833333333333332,FALSE
52,Male,Black,parent,24,FALSE
53,Female,Black,educ_hs,20.833333333333332,FALSE
53,Female,Black,educ_ba,35.25,TRUE
53,Female,Black,married,35.25,TRUE
53,Female,Black,parent,35.25,TRUE
54,Female,Black,educ_hs,22.666666666666668,FALSE
54,Female,Black,educ_ba,40.5,TRUE
54,Female,Black,married,40.5,TRUE
54,Female,Black,parent,22.916666666666668,FALSE
55,Female,Hispanic,educ_hs,19.25,FALSE
55,Female,Hispanic,educ_ba,27.75,FALSE
55,Female,Hispanic,married,28,FALSE
55,Female,Hispanic,parent,34.416666666666664,FALSE
56,Female,White or Other,educ_hs,20.166666666666668,FALSE
56,Female,White or Other,educ_ba,24.333333333333332,FALSE
56,Female,White or Other,married,27.916666666666668,FALSE
56,Female,White or Other,parent,31.333333333333332,FALSE
57,Male,Black,educ_hs,21.333333333333332,FALSE
57,Male,Black,educ_ba,40.583333333333336,TRUE
57,Male,Black,married,40.583333333333336,TRUE
57,Male,Black,parent,36.5,FALSE
58,Male,Black,educ_hs,20.333333333333332,FALSE
58,Male,Black,educ_ba,41.166666666666664,TRUE
58,Male,Black,married,41.166666666666664,TRUE
58,Male,Black,parent,41.166666666666664,TRUE
59,Female,Black,educ_hs,19.083333333333332,FALSE
59,Female,Black,educ_ba,41.416666666666664,TRUE
59,Female,Black,married,41.416666666666664,TRUE
59,Female,Black,parent,41.416666666666664,TRUE
60,Male,White or Other,educ_hs,24.083333333333332,FALSE
60,Male,White or Other,educ_ba,28,FALSE
60,Male,White or Other,married,41.833333333333336,TRUE
60,Male,White or Other,parent,41.833333333333336,TRUE
61,Female,Black,educ_hs,20.833333333333332,FALSE
61,Female,Black,educ_ba,41.75,TRUE
61,Female,Black,married,25.25,FALSE
61,Female,Black,parent,25,FALSE
62,Male,Black,educ_hs,18.25,FALSE
62,Male,Black,educ_ba,22.166666666666668,FALSE
62,Male,Black,married,31.666666666666668,FALSE
62,Male,Black,parent,35.25,FALSE
63,Female,Black,educ_hs,21.25,FALSE
63,Female,Black,educ_ba,30.5,FALSE
63,Female,Black,married,26.666666666666668,FALSE
63,Female,Black,parent,26.833333333333332,FALSE
64,Male,Black,educ_hs,19.25,FALSE
64,Male,Black,educ_ba,41.583333333333336,TRUE
64,Male,Black,married,41.583333333333336,TRUE
64,Male,Black,parent,22.666666666666668,FALSE
65,Male,Black,educ_hs,41.666666666666664,TRUE
65,Male,Black,educ_ba,33.166666666666664,FALSE
65,Male,Black,married,41.666666666666664,TRUE
65,Male,Black,parent,41.666666666666664,TRUE
66,Male,Black,educ_hs,18.666666666666668,FALSE
66,Male,Black,educ_ba,22.833333333333332,FALSE
66,Male,Black,married,29,TRUE
66,Male,Black,parent,29,TRUE
67,Male,Black,educ_hs,17.583333333333332,FALSE
67,Male,Black,educ_ba,22.083333333333332,FALSE
67,Male,Black,married,40.916666666666664,FALSE
67,Male,Black,parent,27.25,FALSE
68,Male,Black,educ_hs,20.333333333333332,FALSE
68,Male,Black,educ_ba,42.083333333333336,TRUE
68,Male,Black,married,42.083333333333336,TRUE
68,Male,Black,parent,42.083333333333336,TRUE
69,Female,Black,educ_hs,18.833333333333332,FALSE
69,Female,Black,educ_ba,22.75,FALSE
69,Female,Black,married,26.166666666666668,FALSE
69,Female,Black,parent,39.333333333333336,FALSE
70,Male,Black,educ_hs,19.666666666666668,FALSE
70,Male,Black,educ_ba,26.166666666666668,FALSE
70,Male,Black,married,39.416666666666664,TRUE
70,Male,Black,parent,34.916666666666664,FALSE
71,Male,Black,educ_hs,19.416666666666668,FALSE
71,Male,Black,educ_ba,42.333333333333336,TRUE
71,Male,Black,married,42.333333333333336,TRUE
71,Male,Black,parent,42.333333333333336,TRUE
72,Female,Black,educ_hs,21,FALSE
72,Female,Black,educ_ba,41.416666666666664,TRUE
72,Female,Black,married,36.083333333333336,FALSE
72,Female,Black,parent,41.416666666666664,TRUE
73,Male,Black,educ_hs,21.333333333333332,FALSE
73,Male,Black,educ_ba,39.083333333333336,TRUE
73,Male,Black,married,27.833333333333332,FALSE
73,Male,Black,parent,28.083333333333332,FALSE
74,Male,White or Other,educ_hs,21.25,FALSE
74,Male,White or Other,educ_ba,25.583333333333332,FALSE
74,Male,White or Other,married,41,TRUE
74,Male,White or Other,parent,39.25,FALSE
75,Male,White or Other,educ_hs,20.25,FALSE
75,Male,White or Other,educ_ba,41.916666666666664,TRUE
75,Male,White or Other,married,36.25,FALSE
75,Male,White or Other,parent,37.083333333333336,FALSE
76,Male,White or Other,educ_hs,21.416666666666668,FALSE
76,Male,White or Other,educ_ba,41.916666666666664,TRUE
76,Male,White or Other,married,33.25,FALSE
76,Male,White or Other,parent,36.166666666666664,FALSE
77,Female,Hispanic,educ_hs,21.25,FALSE
77,Female,Hispanic,educ_ba,28,TRUE
77,Female,Hispanic,married,28,FALSE
77,Female,Hispanic,parent,27.25,FALSE
78,Female,White or Other,educ_hs,19.833333333333332,FALSE
78,Female,White or Other,educ_ba,41.416666666666664,TRUE
78,Female,White or Other,married,41.416666666666664,TRUE
78,Female,White or Other,parent,27.75,FALSE
79,Male,Hispanic,educ_hs,23.166666666666668,FALSE
79,Male,Hispanic,educ_ba,40.75,TRUE
79,Male,Hispanic,married,40.75,TRUE
79,Male,Hispanic,parent,28.333333333333332,FALSE
80,Male,Black,educ_hs,20.75,FALSE
80,Male,Black,educ_ba,41.666666666666664,TRUE
80,Male,Black,married,41.666666666666664,TRUE
80,Male,Black,parent,20.333333333333332,FALSE
81,Female,Black,educ_hs,41.416666666666664,TRUE
81,Female,Black,educ_ba,41.416666666666664,TRUE
81,Female,Black,married,41.416666666666664,TRUE
81,Female,Black,parent,41.416666666666664,TRUE
82,Male,Hispanic,educ_hs,21.583333333333332,FALSE
82,Male,Hispanic,educ_ba,29.5,FALSE
82,Male,Hispanic,married,33.75,FALSE
82,Male,Hispanic,parent,32.166666666666664,FALSE
83,Male,Hispanic,educ_hs,21.166666666666668,FALSE
83,Male,Hispanic,educ_ba,41.583333333333336,TRUE
83,Male,Hispanic,married,41.583333333333336,TRUE
83,Male,Hispanic,parent,41.583333333333336,TRUE
84,Female,Hispanic,educ_hs,22,FALSE
84,Female,Hispanic,educ_ba,39.25,FALSE
84,Female,Hispanic,married,27.416666666666668,FALSE
84,Female,Hispanic,parent,24.416666666666668,FALSE
85,Male,White or Other,educ_hs,22,FALSE
85,Male,White or Other,educ_ba,41.333333333333336,TRUE
85,Male,White or Other,married,24.416666666666668,FALSE
85,Male,White or Other,parent,24.583333333333332,FALSE
86,Female,White or Other,educ_hs,18.666666666666668,FALSE
86,Female,White or Other,educ_ba,27.333333333333332,FALSE
86,Female,White or Other,married,25.75,FALSE
86,Female,White or Other,parent,27.5,FALSE
87,Male,Hispanic,educ_hs,22,FALSE
87,Male,Hispanic,educ_ba,29.166666666666668,TRUE
87,Male,Hispanic,married,29.166666666666668,TRUE
87,Male,Hispanic,parent,29.166666666666668,TRUE
88,Male,White or Other,educ_hs,21.333333333333332,FALSE
88,Male,White or Other,educ_ba,42.5,TRUE
88,Male,White or Other,married,42.5,TRUE
88,Male,White or Other,parent,42.5,TRUE
89,Male,White or Other,educ_hs,18.5,FALSE
89,Male,White or Other,educ_ba,23.083333333333332,FALSE
89,Male,White or Other,married,26.25,FALSE
89,Male,White or Other,parent,35.333333333333336,FALSE
90,Male,Hispanic,educ_hs,19.5,FALSE
90,Male,Hispanic,educ_ba,34.833333333333336,FALSE
90,Male,Hispanic,married,40.833333333333336,TRUE
90,Male,Hispanic,parent,40.833333333333336,TRUE
91,Female,Hispanic,educ_hs,20.166666666666668,FALSE
91,Female,Hispanic,educ_ba,28.166666666666668,FALSE
91,Female,Hispanic,married,40.916666666666664,TRUE
91,Female,Hispanic,parent,40.916666666666664,TRUE
92,Male,White or Other,educ_hs,23.916666666666668,FALSE
92,Male,White or Other,educ_ba,41.25,TRUE
92,Male,White or Other,married,41.25,TRUE
92,Male,White or Other,parent,41.25,TRUE
93,Male,Hispanic,educ_hs,21.5,FALSE
93,Male,Hispanic,educ_ba,39.333333333333336,TRUE
93,Male,Hispanic,married,25.333333333333332,FALSE
93,Male,Hispanic,parent,39.333333333333336,TRUE
94,Female,Black,educ_hs,17.75,FALSE
94,Female,Black,educ_ba,41.25,TRUE
94,Female,Black,married,28.916666666666668,FALSE
94,Female,Black,parent,30.166666666666668,FALSE
95,Male,Hispanic,educ_hs,27.583333333333332,TRUE
95,Male,Hispanic,educ_ba,27.583333333333332,TRUE
95,Male,Hispanic,married,27.583333333333332,TRUE
95,Male,Hispanic,parent,27.583333333333332,TRUE
96,Male,White or Other,educ_hs,28.333333333333332,TRUE
96,Male,White or Other,educ_ba,23.75,FALSE
96,Male,White or Other,married,28.333333333333332,TRUE
96,Male,White or Other,parent,28.333333333333332,TRUE
97,Male,Hispanic,educ_hs,18.166666666666668,FALSE
97,Male,Hispanic,educ_ba,22.666666666666668,FALSE
97,Male,Hispanic,married,27.333333333333332,FALSE
97,Male,Hispanic,parent,34.833333333333336,FALSE
98,Male,White or Other,educ_hs,19.416666666666668,FALSE
98,Male,White or Other,educ_ba,27.916666666666668,FALSE
98,Male,White or Other,married,32.333333333333336,TRUE
98,Male,White or Other,parent,32.333333333333336,TRUE
99,Male,Hispanic,educ_hs,22.75,FALSE
99,Male,Hispanic,educ_ba,24.666666666666668,TRUE
99,Male,Hispanic,married,24.666666666666668,TRUE
99,Male,Hispanic,parent,24.666666666666668,TRUE
100,Female,Black,educ_hs,41.916666666666664,TRUE
100,Female,Black,educ_ba,41.916666666666664,TRUE
100,Female,Black,married,41.916666666666664,TRUE
100,Female,Black,parent,21.75,FALSE
101,Female,Black,educ_hs,37.916666666666664,TRUE
101,Female,Black,educ_ba,37.916666666666664,TRUE
101,Female,Black,married,37.916666666666664,TRUE
101,Female,Black,parent,22.25,FALSE
102,Female,Hispanic,educ_hs,20,FALSE
102,Female,Hispanic,educ_ba,25,FALSE
102,Female,Hispanic,married,42.166666666666664,TRUE
102,Female,Hispanic,parent,42.166666666666664,TRUE
103,Female,Hispanic,educ_hs,20.333333333333332,FALSE
103,Female,Hispanic,educ_ba,22,TRUE
103,Female,Hispanic,married,22,TRUE
103,Female,Hispanic,parent,22,TRUE
104,Female,White or Other,educ_hs,17.583333333333332,FALSE
104,Female,White or Other,educ_ba,35.166666666666664,FALSE
104,Female,White or Other,married,29.166666666666668,FALSE
104,Female,White or Other,parent,41,TRUE
