id,censored,time,how_end,sex,race,age,education,parent
3,TRUE,4.5,Censored,Female,Hispanic,36.916666666666664,College,TRUE
5,TRUE,12.5,Censored,Male,Hispanic,28.333333333333332,High school,FALSE
6,TRUE,18.25,Censored,Female,Hispanic,23.333333333333332,High school,FALSE
7,FALSE,8.833333333333334,Divorced,Male,Hispanic,30.083333333333332,High school,FALSE
8,TRUE,4.25,Censored,Female,White or Other,37.833333333333336,College,TRUE
9,TRUE,7.166666666666667,Censored,Male,White or Other,34.583333333333336,College,FALSE
10,TRUE,5.583333333333333,Censored,Male,White or Other,35.666666666666664,College,FALSE
11,TRUE,6.083333333333333,Censored,Female,Hispanic,35.333333333333336,College,TRUE
22,FALSE,5,Divorced,Male,Hispanic,29.5,High school,TRUE
23,FALSE,8.333333333333334,Legally Separated,Female,Hispanic,22.416666666666668,High school,FALSE
24,TRUE,2.8333333333333335,Censored,Male,Hispanic,39,Less than high school,TRUE
25,TRUE,17.25,Censored,Female,Hispanic,24,High school,TRUE
27,TRUE,6.333333333333333,Censored,Male,Black,35,Less than high school,TRUE
28,FALSE,6.083333333333333,Divorced,Female,Black,32.75,College,TRUE
31,TRUE,6.083333333333333,Censored,Male,White or Other,35,College,FALSE
32,FALSE,10.333333333333334,Divorced,Female,White or Other,26.083333333333332,College,FALSE
33,TRUE,12.166666666666666,Censored,Female,White or Other,28.75,College,FALSE
36,FALSE,7.166666666666667,Legally Separated,Female,White or Other,23.166666666666668,High school,TRUE
37,FALSE,3.6666666666666665,Divorced,Female,White or Other,29.083333333333332,College,FALSE
41,TRUE,6,Censored,Female,White or Other,35.5,College,FALSE
43,TRUE,2,Censored,Female,Black,39.166666666666664,High school,FALSE
44,FALSE,6.333333333333333,Legally Separated,Male,Hispanic,23.583333333333332,High school,TRUE
49,TRUE,12.5,Censored,Female,Black,28.5,High school,TRUE
51,FALSE,1.4166666666666667,Widowed,Male,Black,29,High school,TRUE
52,TRUE,16.833333333333332,Censored,Male,Black,23.833333333333332,High school,FALSE
55,TRUE,13.75,Censored,Female,Hispanic,28,College,FALSE
56,TRUE,13.75,Censored,Female,White or Other,27.916666666666668,College,FALSE
61,FALSE,3.0833333333333335,Legally Separated,Female,Black,25.25,High school,TRUE
62,TRUE,10,Censored,Male,Black,31.666666666666668,College,FALSE
63,FALSE,3.5,Divorced,Female,Black,26.666666666666668,High school,FALSE
69,FALSE,5.666666666666667,Divorced,Female,Black,26.166666666666668,College,FALSE
72,TRUE,5.333333333333333,Censored,Female,Black,36.083333333333336,High school,FALSE
73,TRUE,11.25,Censored,Male,Black,27.833333333333332,High school,FALSE
75,TRUE,5.666666666666667,Censored,Male,White or Other,36.25,High school,FALSE
76,TRUE,8.666666666666666,Censored,Male,White or Other,33.25,High school,FALSE
82,TRUE,7.333333333333333,Censored,Male,Hispanic,33.75,College,TRUE
84,FALSE,2.0833333333333335,Legally Separated,Female,Hispanic,27.416666666666668,High school,TRUE
85,TRUE,16.916666666666668,Censored,Male,White or Other,24.416666666666668,High school,FALSE
86,TRUE,15.583333333333334,Censored,Female,White or Other,25.75,High school,FALSE
89,FALSE,6,Divorced,Male,White or Other,26.25,College,FALSE
93,TRUE,14,Censored,Male,Hispanic,25.333333333333332,High school,FALSE
94,TRUE,12.333333333333334,Censored,Female,Black,28.916666666666668,High school,FALSE
97,FALSE,2,Legally Separated,Male,Hispanic,27.333333333333332,College,FALSE
104,TRUE,11.833333333333334,Censored,Female,White or Other,29.166666666666668,High school,FALSE
105,TRUE,14,Censored,Male,White or Other,27.583333333333332,High school,FALSE
107,TRUE,8.916666666666666,Censored,Female,White or Other,32.083333333333336,College,FALSE
108,TRUE,7.666666666666667,Censored,Male,White or Other,33.333333333333336,College,FALSE
109,TRUE,11.083333333333334,Censored,Female,White or Other,30.833333333333332,College,FALSE
110,TRUE,10.25,Censored,Female,White or Other,31.083333333333332,College,FALSE
111,FALSE,2.6666666666666665,Divorced,Female,White or Other,35.666666666666664,College,FALSE
114,TRUE,4.916666666666667,Censored,Female,White or Other,36.166666666666664,College,TRUE
119,TRUE,10,Censored,Male,White or Other,31.583333333333332,College,FALSE
121,TRUE,11.333333333333334,Censored,Male,White or Other,29.916666666666668,High school,FALSE
122,TRUE,4.666666666666667,Censored,Male,White or Other,36.916666666666664,High school,TRUE
127,TRUE,7.5,Censored,Female,White or Other,32.166666666666664,College,FALSE
129,FALSE,0.08333333333333333,Divorced,Female,White or Other,30.916666666666668,College,FALSE
132,TRUE,11.666666666666666,Censored,Male,White or Other,30.166666666666668,College,FALSE
133,TRUE,5.75,Censored,Male,White or Other,35.666666666666664,College,FALSE
135,TRUE,4.083333333333333,Censored,Male,White or Other,27.333333333333332,High school,FALSE
136,TRUE,10.25,Censored,Female,White or Other,30.75,College,FALSE
137,FALSE,17.666666666666668,Legally Separated,Female,White or Other,23.75,High school,TRUE
138,TRUE,5.25,Censored,Male,White or Other,36,High school,FALSE
142,FALSE,4.666666666666667,Legally Separated,Female,White or Other,22.25,High school,TRUE
143,TRUE,17.5,Censored,Male,Black,23.583333333333332,High school,TRUE
147,TRUE,7.833333333333333,Censored,Female,White or Other,34.25,High school,FALSE
150,TRUE,2.3333333333333335,Censored,Male,Black,37,High school,TRUE
156,TRUE,8.25,Censored,Male,White or Other,32.583333333333336,College,FALSE
157,TRUE,12.833333333333334,Censored,Female,Hispanic,28.5,College,FALSE
